,scene_id,sample_id,category_id,score,bbox
0,128.0,0.0,7.0,0.11913520097732544,"[631.2213745117188, 581.6310424804688, 135.27862548828125, 184.86895751953125]"
1,128.0,0.0,8.0,0.11482354998588562,"[0.0, 747.002197265625, 32.82783126831055, 19.497802734375]"
2,128.0,0.0,7.0,0.11370071768760681,"[708.492919921875, 674.1646728515625, 58.007080078125, 92.3353271484375]"
3,128.0,0.0,9.0,0.10693511366844177,"[723.8361206054688, 0.0, 42.66387939453125, 24.13957977294922]"
4,128.0,0.0,1.0,0.1062450036406517,"[91.79264831542969, 314.25018310546875, 671.838623046875, 452.24981689453125]"
5,128.0,0.0,7.0,0.10487201064825058,"[486.08544921875, 391.30316162109375, 280.41455078125, 375.19683837890625]"
6,128.0,0.0,8.0,0.10331732779741287,"[0.0, 249.52767944335938, 266.9351806640625, 516.9722900390625]"
7,128.0,0.0,6.0,0.10299316793680191,"[739.303466796875, 0.0, 27.196533203125, 18.485910415649414]"
8,128.0,0.0,3.0,0.10239259153604507,"[681.9878540039062, 629.6021118164062, 84.51214599609375, 136.89788818359375]"
9,128.0,0.0,7.0,0.10166580229997635,"[733.575439453125, 721.6153564453125, 32.924560546875, 44.8846435546875]"
10,128.0,0.0,4.0,0.09776508808135986,"[0.0, 0.0, 19.087934494018555, 21.502349853515625]"
11,128.0,0.0,9.0,0.09566035121679306,"[545.4737548828125, 0.0, 221.0262451171875, 91.6081314086914]"
12,128.0,0.0,9.0,0.09496478736400604,"[659.3355712890625, 0.0, 107.1644287109375, 51.82969665527344]"
13,128.0,0.0,2.0,0.09230601042509079,"[0.0, 702.5756225585938, 49.40528869628906, 63.92437744140625]"
14,128.0,0.0,8.0,0.09211369603872299,"[0.0, 724.28564453125, 83.37181854248047, 42.21435546875]"
15,128.0,0.0,4.0,0.09086066484451294,"[0.0, 0.0, 766.5, 314.7120666503906]"
16,128.0,0.0,8.0,0.09054039418697357,"[0.0, 511.9975280761719, 128.57244873046875, 254.50247192382812]"
17,128.0,0.0,8.0,0.08865422010421753,"[0.0, 724.70849609375, 24.434743881225586, 41.79150390625]"
18,128.0,0.0,3.0,0.08659567683935165,"[483.3248291015625, 154.11492919921875, 233.11029052734375, 485.95843505859375]"
19,128.0,0.0,9.0,0.08602176606655121,"[683.8058471679688, 0.0, 82.69415283203125, 184.33302307128906]"
20,128.0,0.0,9.0,0.08493585139513016,"[746.9056396484375, 0.0, 19.5943603515625, 45.31675338745117]"
21,128.0,0.0,2.0,0.08229727298021317,"[0.0, 179.86944580078125, 496.43646240234375, 586.6305541992188]"
22,128.0,0.0,4.0,0.08207229524850845,"[0.0, 33.0867805480957, 485.7116394042969, 381.0572204589844]"
23,128.0,0.0,2.0,0.08184763789176941,"[0.0, 738.72021484375, 63.247100830078125, 27.77978515625]"
24,128.0,0.0,3.0,0.08126917481422424,"[202.39169311523438, 0.0, 309.8775939941406, 766.5]"
25,128.0,0.0,6.0,0.08106601983308792,"[587.4468383789062, 195.1937255859375, 179.05316162109375, 571.3062744140625]"
26,128.0,0.0,2.0,0.0802297368645668,"[0.0, 625.3076171875, 101.30196380615234, 141.1923828125]"
27,128.0,0.0,3.0,0.07937660068273544,"[745.1519165039062, 732.2408447265625, 21.34808349609375, 34.2591552734375]"
28,128.0,0.0,1.0,0.0792112872004509,"[483.0516662597656, 13.211986541748047, 283.4483337402344, 376.3849182128906]"
29,128.0,0.0,4.0,0.0788358524441719,"[0.0, 0.0, 12.305377006530762, 53.92420959472656]"
30,128.0,0.0,6.0,0.07852857559919357,"[0.0, 583.2777099609375, 255.45840454101562, 183.2222900390625]"
31,128.0,0.0,9.0,0.07791732251644135,"[722.62939453125, 0.0, 43.87060546875, 83.85991668701172]"
32,128.0,0.0,2.0,0.07765112072229385,"[600.2853393554688, 699.0431518554688, 166.21466064453125, 67.45684814453125]"
33,128.0,0.0,9.0,0.07690037786960602,"[0.0, 0.0, 664.7734375, 647.596435546875]"
34,128.0,0.0,9.0,0.07679904252290726,"[345.97845458984375, 0.0, 420.52154541015625, 185.8715057373047]"
35,128.0,0.0,8.0,0.0758732408285141,"[0.0, 2.1408305168151855, 170.95761108398438, 46.23560333251953]"
36,128.0,0.0,9.0,0.07579721510410309,"[700.1793823242188, 734.8834228515625, 66.32061767578125, 31.6165771484375]"
37,128.0,1.0,7.0,0.11640875041484833,"[631.4973754882812, 581.9039306640625, 135.00262451171875, 184.5960693359375]"
38,128.0,1.0,8.0,0.11575230211019516,"[0.0, 747.0023803710938, 32.753517150878906, 19.49761962890625]"
39,128.0,1.0,7.0,0.11363615095615387,"[708.4696044921875, 674.3638916015625, 58.0303955078125, 92.1361083984375]"
